
ADAMTS5	ENST00000284987.5
ANOS1	ENST00000262648.7
ARID4A	ENST00000355431.7
ARID4B	ENST00000264183.7
AXL	ENST00000301178.8
CHD2	ENST00000394196.8
CHD7	ENST00000423902.6
DAX1	ENST00000378970.4
DPF3	ENST00000556509.5
DUSP6	ENST00000279488.7
EMX1	ENST00000258106.10
FGF17	ENST00000359441.3
FGF7	ENST00000614567.4
FGF8	ENST00000320185.6
FGFR1	ENST00000447712.6
FLRT3	ENST00000341420.4
FSHB	ENST00000254122.7
GPR54	ENST00000234371.9
HESX1	ENST00000295934.7
HS6ST1	ENST00000259241.6
IL17RD	ENST00000296318.11
KAL1	ENST00000262648.7
KISS1R 	ENST00000234371.9
LEP	ENST00000308868.4
LEPR	ENST00000349533.10
LHB	ENST00000221421.6
LHX3	ENST00000371746.7
LHX4	ENST00000263726.3
NELF	ENST00000265663.11
NR0B1	ENST00000378970.4
NR5A1	ENST00000373588.8
NSMF	ENST00000265663.11
PCSK1	ENST00000311106.7
PIN1	ENST00000311106.7
POLR3A	ENST00000247970.8
POLR3B	ENST00000372371.7
PROK2	ENST00000295619.3
PROKR2	ENST00000217270.3
PROP1	ENST00000308304.2
RGS5	ENST00000308304.2
SEMA3A	ENST00000265362.8
SEMA7A	ENST00000261918.8
SEMA7A	ENST00000313961.9
SF1	ENST00000373588.8
SOX10	ENST00000261918.8
SOX2	ENST00000325404.2
SOX3	ENST00000325404.2
SPRY4	ENST00000344120.4
TAC3	ENST00000458521.6
TACR3	ENST00000304883.2
TRIM2	ENST00000370536.4
TRIM2	ENST00000437508.6
WDR11	ENST00000263461.10
